"","placeID","canopy.coverage","...3","Lat","Long","Nights.active","Cat","Fox","trapping_rate_cat","distance","trapping_rate_fox"
"90",90,11.701,NA,51.41731,-0.33771,27,0,113,0,0.00440748299900429,4.18518518518519
"91",91,11.701,NA,51.41703,-0.33407,24,0,6,0,0.00399706113626212,0.25
"92",92,20.833,NA,51.41709,-0.33207,24,0,1,0,0.0036340548165099,0.0416666666666667
"93",93,20.833,NA,51.41709,-0.32978,24,0,3,0,0.00333133686283001,0.125
"94",94,33.661,NA,51.41689,-0.32788,8,0,5,0,0.00294148744195977,0.625
"95",95,33.661,NA,51.41709,-0.32292,24,0,3,0,0.00123020970489745,0.125
"96",96,56.011,NA,51.41709,-0.32063,24,0,5,0,0.000296546445492378,0.208333333333333
"97",97,56.011,NA,51.41842,-0.35471,24,0,4,0,0.00279196564496306,0.166666666666667
"98",98,53.619,NA,51.41885,-0.35278,21,0,0,0,0.00470666618794255,0
"99",99,53.619,NA,51.41849,-0.35139,24,0,32,0,0.00590295112908007,1.33333333333333
"100",100,23.629,NA,51.41878,-0.34795,24,0,0,0,0.00502277071888516,0
"101",101,23.629,NA,51.41852,-0.3458,24,0,3,0,0.00441922109833408,0.125
"102",102,35.323,NA,51.4185287,-0.343519,22,0,13,0,0.00424629744857998,0.590909090909091
"103",103,35.323,NA,51.41852,-0.34123,24,0,20,0,0.00406435029334147,0.833333333333333
"104",104,34.081,NA,51.4190005,-0.3389277,14,0,21,0,0.00303389422951545,1.5
"105",105,34.081,NA,51.41852,-0.3343,24,0,38,0,0.00257365096227014,1.58333333333333
"106",106,18.349,NA,51.41852,-0.33207,45,0,11,0,0.00221836356102109,0.244444444444444
"107",107,10.92,NA,51.41852,-0.32978,24,0,2,0,0.00191194588808883,0.0833333333333333
"108",108,10.92,NA,51.4191253,-0.3285973,31,0,8,0,0.00114254261054556,0.258064516129032
"109",109,20.833,NA,51.41853,-0.32517,24,0,17,0,0.000628250014072595,0.708333333333333
"110",110,20.833,NA,51.42091,-0.35471,24,0,1,0,0.00433416775665707,0.0416666666666667
"111",111,35.113,NA,51.42048,-0.35334,24,0,1,0,0.00514211903221461,0.0416666666666667
"112",112,35.113,NA,51.42056,-0.35147,2,0,1,0,0.00602467458393291,0.5
"113",113,56.011,NA,51.41976,-0.34827,19,0,30,0,0.00448680049862661,1.57894736842105
"114",114,56.011,NA,51.41995,-0.3458,24,0,4,0,0.00302063670552733,0.166666666666667
"115",115,19.793,NA,51.41983731,-0.341065,24,0,41,0,0.00274787995101824,1.70833333333333
"116",116,19.793,NA,51.42008235,-0.33892084,24,0,0,0,0.00197817760945828,0
"117",117,23.629,NA,51.41995,-0.33436,24,0,31,0,0.00117835435426773,1.29166666666667
"118",118,40.906,NA,51.41995,-0.33207,31,0,113,0,0.000802672305532287,3.64516129032258
"119",119,17.419,NA,51.41995,-0.32978,24,0,38,0,0.000492554913354706,1.58333333333333
"120",120,17.419,NA,51.42133,-0.35542,25,0,2,0,0.00356952538462606,0.08
"121",121,10.92,NA,51.42115,-0.35244,6,0,8,0,0.00556833241536968,1.33333333333333
"122",122,10.92,NA,51.42138,-0.35038,22,0,0,0,0.00506754419990631,0
"123",123,28.967,NA,51.42138,-0.34809,24,0,0,0,0.00339679750863996,0
"124",124,28.967,NA,51.42094657,-0.34075487,24,0,1,0,0.00159627745540045,0.0416666666666667
"125",125,28.967,NA,51.42125242,-0.33899756,32,0,25,0,0.000858339738702176,0.78125
"126",126,28.967,NA,51.4239,-0.3574,24,0,26,0,0.00080649654513255,1.08333333333333
"127",127,40.906,NA,51.42282,-0.35496,36,1,139,0.0277777777777778,0.00347480358096471,3.86111111111111
"128",128,40.906,NA,51.423282,-0.351601,24,0,12,0,0.00334399930148187,0.5
"129",129,17.419,NA,51.42285,-0.35095,24,0,17,0,0.00368597961687025,0.708333333333333
"130",130,7.419,NA,51.42293,-0.3481,21,0,7,0,0.00295036398374409,0.333333333333333
"131",131,11.65,NA,51.4233,-0.34561,24,0,24,0,0.000446685428532909,1
"132",132,28.967,NA,51.42425,-0.35724,24,0,9,0,0.00081283503414228,0.375
"133",133,28.967,NA,51.42425,-0.35496,24,0,1,0,0.00243112968969319,0.0416666666666667
"134",134,26.561,NA,51.42425,-0.35267,22,0,24,0,0.00252609759283762,1.09090909090909
"135",135,40.906,NA,51.42425,-0.3458,24,0,14,0,0.000394058256328518,0.583333333333333
"136",136,40.906,NA,51.42568,-0.35267,24,0,17,0,0.00110869328708665,0.708333333333333
"137",137,25.265,NA,51.42534,-0.351,24,0,35,0,0.00122453368095332,1.45833333333333
"138",138,25.265,NA,51.42593,-0.34813,21,0,5,0,0.000231359960487524,0.238095238095238
